dialog_speaker_list,dialog_text_list,h,entailment,idx
"[""A""]","[""Are you ready for this magnificent experience experienced so far by only...' the captain consulted his notes, 'two hundred eighty eight commercial passengers?'""]",The captain and passengers all thought this would be a terrifying experience.,FALSE,295762
"[""A""]","[""In my last message, I observed that West, like Gates, wants to be Du Bois when he grows up.""]",It seems like West want to be like Du Bois.,TRUE,251118
"[""A""]","[""so i think you can have both it's more hectic but i think you have to put into perspective what your kids need first then""]","It is challenging, but you have to think of your kids.",TRUE,319768
"[""A""]","[""Our Cyber Cafe also allows technology staff from around the country to demonstrate new software and discuss technology resources with conferees.""]","Technology staff from around the country are allowed to demonstrate new software, and discuss technology resources with conferees in our Cyber Cafe.",TRUE,74238
"[""A""]","[""uh things like that but i i do feel like companies are justified and i do feel like i i mean i i guess i hate as an individual that anything like this has ever become necessary in our you know in our nation but but i feel like that it's a good thing to do""]","I am fully behind the drug testing program, and would like for our country to adopt the Philippines' murder all drug users approach to the issue.",FALSE,217196
"[""A""]","[""that's tremendous are are your computers at work net uh networked at all or is that""]",Do you use computers at work?,FALSE,198112
"[""A""]","[""The entities affected are 49 publically owned electric utilities with combined annual expenditures estimated by EPA to be $2,065,000 the first year and $1,342,000 thereafter.""]",Estimated expenditures are expected to decrease.,TRUE,56526
"[""A""]","[""With astonishing sums of money sloshing around the economy and Japanese products considered world-beaters everywhere, it seemed to the Japanese that the nation had finally achieved its rightful place in the world.""]",The Japanese people thought that their country did not deserve its success.,FALSE,379574
"[""A""]","[""It is surrounded by stone railings; in the terrace railing are four torana gates, off north south and east west axes, perhaps in order to deceive evil spirits.""]","It has stone railings all around it, with four torana gates potentially to deceive evil spirits.",TRUE,115518
"[""A""]","[""Information sharing is impeded when there is a lack of clearly understood agreements and expectations on how potentially sensitive information will be used and protected by the recipients.""]",The importance of information management lies also with the understanding the information.,TRUE,270561
"[""A""]","[""anyway so you don't have any children do you have any little nieces or nep hews  then""]","You are not a parent, but do you have siblings who have children?",TRUE,357367
"[""A""]","[""Decorum and good breeding naturally enjoined that our demeanour should be much as usual, yet I could not help wondering if this self-control were really a matter of great difficulty. ""]",I couldn't help but wonder if it was hard to have self-control.,TRUE,316159
"[""A""]","[""Vishnu is the preserver of life""]",Vishnu ensures that life continues.,TRUE,161691
"[""A""]","[""This seemed a far cheaper--indeed probably costless--alternative to a front-end bonus.""]",This appeared to be a less expensive substitution for a front-end bonus.,TRUE,64292
"[""A""]","[""Its majesty is most notable in the balconies of the Royal Harem, which have screens of the most delicate latticework.""]",The most delicate latticework can be found in the Royal Harem balconies.,TRUE,89529
"[""A""]","[""Time slams last week's Internet-porn conference for producing platitudes rather than action.""]","Time praised the last week's internet conference, they loved it.",FALSE,336667
"[""A""]","[""Hence, it appears that the assumptions driving the advanced scenario are aggressive.""]",There are some aggressive assumptions being made over the course of the advanced scenario.,TRUE,235093
"[""A""]","[""forbade religion for years and years and God's the one that opened the doors for their religion for for Christianity to go in Russia it's not it's not Gorbachev he will not receive the credit for that because one man""]",Gorbachev does not deserve the credit for Christianity in Russia.,TRUE,218871
"[""A""]","[""in in a room do you know what my concern is how will i dust this thing  i'm terrible""]",What's large on my mind is the difficulty of cleaning this thing.,TRUE,86854
"[""A""]","[""Reluctantly I joined the back of the battle, trying to get off the occasional shot without being killed in the process.""]","Trying to get off the occasional shot without being killed in the process, I reluctantly joined the back of the battle.",TRUE,64535
"[""A""]","[""Bush has milked this protective anguish for months.""]",This protective anguish was milked by Bush for months.,TRUE,4386
"[""A""]","[""In the preamble to the rule, HUD states that it may not conduct or sponsor and a person is not required to respond to a collection of information until OMB has issued the control number.""]",OMB must give a control number before information can be collected.,TRUE,331138
"[""A""]","[""The Wall Street Journal hailed it as proof of the success of new drugs.""]","It was cited as proof the new drugs were a flop, from news sources like CNN.",FALSE,215810
"[""A""]","[""And privacy--cloak of night, stocking mask, and any digital equivalent--is all that separates the thief from the law.""]",The thief is not separated from the law.,FALSE,225461
"[""A""]","[""But if a friend gave you the precise URL for this column, you could go directly to it.""]",If you friend gives you an imprecise URL you can go directly to it. ,FALSE,91385
"[""A""]","[""yep specially those intermission movies yep""]","Not the intermission movies, though.",FALSE,171457
"[""A""]","[""Australia is an independent nation and retains constitutional links with Queen Elizabeth II of Great Britain who is Queen of Australia.""]",Queen Elizabeth II of Great Britain has constitutional links with Australia.,TRUE,365528
"[""A""]","[""Nor do Hollywood movies show any sign of revising Nixon's image.""]",Nixon's image is not revised by Hollywood.,TRUE,302569
"[""A""]","[""And you've got them?""]",And you gave them away?,FALSE,10213
"[""A""]","[""Their white sails make a beautiful sight, especially at sunset.""]",The boats all have white sails.,TRUE,244806
"[""A""]","[""For learning to windsurf (boardsail), choose somewhere with plenty of shallow water (such as Ses Salines on Menorca).""]",Beginners should not windsurf in deep water. ,TRUE,265738
"[""A""]","[""The information collections in the proposed rule were approved by the Office of Management and Budget under OMB No.""]",The information collections in the proposed rule were denied. ,FALSE,336031
"[""A""]","[""Dropping some coins on the table, he rose and started back to the stable, to the world of Shiloh and Shadow where he was unable to betray Drew Rennie.""]",He didn't have any money on him as he went back home.,FALSE,48237
"[""A""]","[""yes but yes and i kind of have always pooh-poohed military educations but i think that for this kid it's going to be you know his lifesaver otherwise he might have been driving trucks or framing houses you know from here to eternity""]",I generally don't like the idea of military educations.,TRUE,69492
"[""A""]","[""Miss Howard goes back to Middlingham. ""]",Miss Howard leaves Middlingham.,FALSE,326587
"[""A""]","[""(Music swells ...)""]",Music remains stagnant. ,FALSE,197513
"[""A""]","[""The Orioles pressed for several design changes that lowered Camden Yards' top deck and produced a middle-row viewing distance of 199 feet, about eight rows closer than Arlington's.""]",The Oriole's changed their stadium design to have a lower Camden Yard top deck and a middle row with a viewing distance of 199 feet.,TRUE,214177
"[""A""]","[""In one massacre, an 11-year-old girl watched her father being marched off and later found his charred body.""]","In one massacre, a young girl was taken away and killed in front of her father.",FALSE,309116
"[""A""]","[""If you start at once I think you can catch the connection."" Tommy looked up, puzzled.""]",Tommy looked puzzled but thought he could catch the connection.,TRUE,151887
"[""A""]","[""but uh it's yeah i think it's the greatest stuff in the world though it's jeez they i make all kinds of things with it we make all kinds of things just with dried flowers i i almost want to start a business doing it but i don't i i'm so uh timid when it comes to starting a business""]",I would love to start a business making all kinds of things with dried flowers.,TRUE,383777
"[""A""]","[""The Spaniards then looked to agriculture to turn a profit and began growing sugar cane, which had been introduced to the Caribbean on Columbus's second journey.""]",Sugar cane was a profitable crop for the Spaniards. ,TRUE,143559
"[""A""]","[""An even more picturesque scene occurs when the boats come in and jostling housewives buy the day's catch direct from the fishermen.""]",The wives collect the fish from the men at the end of the day.,TRUE,344459
"[""A""]","[""'Truce. You stop this train, everyone lives.'""]",If you stop this train everyone will live.,TRUE,41396
"[""A""]","[""However, a Harvard study showed that the covering residents made serious mistakes six times more often than even fatigued residents.""]",Residents covering for others made more serious mistakes than fatigued residents.,TRUE,264735
"[""A""]","[""This entitles you to a roundtrip train ticket from Shinjuku to Gora, connecting with the funicular railway up into the mountains to a cable car.""]",The funicular railway is connected to the Gora train station for you to take.,TRUE,190361
"[""A""]","[""After the Revolution, the palace became a gambling den again and narrowly escaped destruction in the 1871 uprising.""]",The palace could have been destroyed in 1871.,TRUE,380222
"[""A""]","[""It incorporates concepts of power and reduction of barriers and an affirmative duty to address barriers.""]",It incorporates power and barrier reduction of barriers.,TRUE,237603
"[""A""]","[""to them and he he spends about an hour doing that and that's that's pretty good quality time with them and um but it's hard for him on Saturdays he he wants""]",He spends three hours doing that with them on Saturdays.,FALSE,6801
"[""A""]","[""About him.""]",Concerning him.,TRUE,94620
"[""A""]","[""they take out for the for the finances the finance charge which is kind of you know it's like one of these lose or swim type of credit one of those loans is not really the best in the world but""]",That is the best type of loan available.,FALSE,70492
"[""A""]","[""The main road skirts the eastern side of the lake; the minor route on the west bank, however, is prettier, affording dramatic views of Helvellyn Peak in the distance.""]",The only road is located on the western side of the lake.,FALSE,193151
"[""A""]","[""The Socialists won the elections but split over support for the Russian Revolution, leading to the formation in 1921 of the Italian Communist Party.""]","With the Socialist not winning the elections, The Italian Communist Party was allowed to form.",FALSE,189114
"[""A""]","[""well that that certainly can happen now if you you say you're in communications uh what base of communications would you be most interested in getting in to""]",What base of communications are you most interested in? ,TRUE,4630
"[""A""]","[""He cites a passage in the Linda Tripp tapes in which Tripp asks Lewinsky if the president knows she is going to lie in her upcoming deposition in the Paula Jones case.""]",Tripp asked Lewinsky if the president knew she was going to lie. ,TRUE,199499
"[""A""]","[""Come now, urged Poirot encouragingly. ""]",Poirot urged the person to come.,TRUE,231084
"[""A""]","[""how about how about i guess we could talk about TV movies i mean i don't know that they're really really truly movies i mean""]",How about we converse about TV movies?,TRUE,388435
"[""A""]","[""Made of ...""]",Not made using.,FALSE,116017
"[""A""]","[""Clinton urged Congress to pass the Employment Non-Discrimination Act, which would ban job discrimination against gays.""]",Clinton decided not to press Congress to vote for the bill banning job discrimination against gays.,FALSE,24231
"[""A""]","[""It might have seemed like manna from heaven - up to thousands of dollars dropping, often unexpectedly, into the hands of a half-million Kentucky and Indiana residents this month.""]",Thousands of dollars are being dropped in the hands of Kentucky and Indiana residents.,TRUE,377923
"[""A""]","[""But let's supplement it  DON'T TELL ME OTHERWISE WHEN I SIGN UP.""]",You can tell me when I sign up no matter what.,FALSE,146185
"[""A""]","[""Instead I turned right, toward the men's department, still searching for those pants.""]",I was looking for the pants.,TRUE,262105
"[""A""]","[""In this case, more space would be needed for the PJFF.""]",The PJFF needs little accommodation. ,FALSE,130998
"[""A""]","[""From all the indicators available, the record is mixed at best.""]",The entity has a spotless record according to the indicators.,FALSE,72496
"[""A""]","[""Eszterhas' career did not have to be this way.""]",Eszterhas was simply destined to have this career.,FALSE,245504
"[""A""]","[""It would be helpful to key your comments to the specific paragraph numbers, give your rationale for any proposed changes, and suggest revised language.""]",Do not reference paragraph numbers when making comments.  ,FALSE,216447
"[""A""]","[""The point of making these physical standards is to educate your nose to recognize these aromas in an undoctored glass of wine.""]",Physical standards are used to train you to pick out aromas from wine.,TRUE,62883
"[""A""]","[""oh gosh bless your heart""]",Curse your heart. ,FALSE,128620
"[""A""]","[""A corner of the horizon was winter blue; a whole sweep of it was dead, featureless black.""]",The horizon was glowing with red sunlight. ,FALSE,206795
"[""A""]","[""they're uh yeah and they did they made some trades uh oh they had one white guy i can't think of his name that was real good""]",They could not make any trades or contacts.,FALSE,121387
"[""A""]","[""How are you going to do it?'""]",How will you do that?,TRUE,170639
"[""A""]","[""Porto-Vecchio""]",Porto-Vecchio,TRUE,345305
"[""A""]","[""In the Kansai region, peony lovers head for Hasedera Temple in rural Nara.""]",The hasedera temple has a lot of peonies.,TRUE,322637
"[""A""]","[""Thanks to the glorious return of the college hair, Ewelina was replaced by Marzena, the 19th Fiancée, who was only 20 years old, but the age difference was hardly visible and was still getting smaller.""]","Marzena, who was only 20 years old, was the one that replaced Ewelina.",TRUE,205985
"[""A""]","[""The fools cannot hold the shell.""]",They can hold the shell without any issue.,FALSE,293751
"[""A""]","[""Employees of the Federal Government provide service to their employer in exchange for compensation, of which some is received currently (the salary); and some is deferred (pensions, retirement health benefits, and other retirement benefits).""]",Federal Government employees get pensions and retirement health benefits.,TRUE,90199
"[""A""]","[""You do manage to survive, don't you?""]",I know that you do not make it alive.,FALSE,77355
"[""A""]","[""Syracuse's original settlement was the port island of Ortigia, joined by causeway to the mainland.""]",The port island of Ortigia is joined to the mainland by a causeway.,TRUE,290775
"[""A""]","[""FDA estimates that costs of $93 million would be incurred in direct livestock losses due to BSE infection, that costs of $4.""]","The FDA said there are no costs, but that it woudl save money.",FALSE,91948
"[""A""]","[""As the New Year rings in, a splendid fireworks display erupts.""]",The fireworks display erupts as the new year rings in.,TRUE,366957
"[""A""]","[""In the nave are more glittering mosaics of Christ Pantocrator (Omnipotent Lord) with angels.""]",Several mosaics of Christ are visible.,TRUE,43169
"[""A""]","[""Flynt says he was parodying these stereotypes, but the film carefully avoids raising the issue.""]",Flynt claims that his work was a parody of stereotypes but does not talk about them.,TRUE,308417
"[""A""]","[""oh oh really yeah it's pretty hot here during the Summer gosh""]",The summers are quite hot around here.,TRUE,385579
"[""A""]","[""Others may not promote referral and treatment.""]",They all support referrals and treatment ,FALSE,66257
"[""A""]","[""Small-scale agriculture dominates the island's land?­scape, employing about a fifth of the people.""]",20% of the population works in agriculture.,TRUE,134950
"[""A""]","[""yeah i knew what you meant yeah""]",I know what you mean.,TRUE,351173
"[""A""]","[""you know and they're not going to do that directly but the thing is is that they they didn't go into into Iraq and say you know because they have the force to go in there and say get out of the country you know you can seek seek asylum here and you can go there but no way are you going to rule ever again""]",They went into Iraq to make sure they would never rule again.,TRUE,172255
"[""A""]","[""If they come, we will defend ourselves.""]",We will fight back if they come.,TRUE,211971
"[""A""]","[""They do not, they say, value a stock by looking at future earnings.""]",They believe that a stock is only as good as its earning potentials.,FALSE,119522
"[""A""]","[""The south of the island is mountainous and barren and traveling there is difficult.""]",It's hard to travel south of the island because of the rough terrain.,TRUE,64950
"[""A""]","[""Combining statistical sampling with fast pay procedures increases the risks that overpayments would occur and go undetected compared to a 100percent verification of receipt and acceptance.""]",Failure to verify receipt and acceptance of payments by combining statistical sampling and fast pay procedures can lead to overpayments.,TRUE,136106
"[""A""]","[""You, of course, will plead poverty and suggest that you can buy the same thing more cheaply elsewhere, but end up making an offer slightly higher than your first.""]",You can pretend to be poor and buy the same thing cheaper but make a higher offer. ,TRUE,261859
"[""A""]","[""Walk through the loggia to find the Church of egios Tatos.""]","If you walk through the loggia, you'll find yourself at the edge of town, with nothing but countryside beyond.",FALSE,357435
"[""A""]","[""right that's true yeah there's not too many that are uh that are good just on their you know that that you wouldn't want to change something and there's always something that uh""]",Not everything needs to be changed. Some things are just good on their own.,TRUE,356039
"[""A""]","[""Nearby, the fine National Maritime Museum in Allenby Street charts 5,000 years of Red Sea and Mediterranean seafaring, while the Clandestine Immigration and Naval Museum documents the defiance of the British blockade to smuggle immigrants into Israel.""]",The National Maritime Museum is located on Allenby Street.,TRUE,100932
"[""A""]","[""yeah yeah yeah from Love Canal""]",It's from Hate Street.,FALSE,322420
"[""A""]","[""they were really in a mess and there were children involved and it was just terrible but i didn't think anybody you know they all deserved to go to jail not just the one guy you know""]",The one guy who did it should go to jail but he has yet to be caught.,FALSE,253718
"[""A""]","[""why is that do you think the average citizen has the the um uh the wherewithals in order to use it""]",The average citizen definitely knows when it is appropriate.,FALSE,190977
"[""A""]","[""The case turns on questionable medical testimony about injuries to 8-month-old victim Matthew Eappen.""]",Matthew Eappen had questionable medical testimony related to injuries he sustained.,TRUE,7871
"[""A""]","[""For animals?""]",Is that for the humans?,FALSE,251043
"[""A""]","[""yeah yeah i i use they they they have all these neat phrases you know you know you know like critically acclaimed that's what they when the thing hasn't won any award""]",They didn't have a way to describe it.,FALSE,362164
"[""A""]","[""so the Serger is not a sewing machine itself it's something that goes with it""]",Serger isn't a sewing machine but something that adds to it.,TRUE,145582
"[""A""]","[""The major systems and components of a wet FGD limestone reagent system  Reagent Feed""]",The minor system and components of a dry FGD limestone reagent system Reagent Feed,FALSE,102215
"[""A""]","[""As long ago as 1939, Sir John Hicks, one of the founders of modern economics, noted that increasing returns, if tolerated, could lead to the wreckage of a large part of economic theory.)""]",Sir John Hicks is one of the founders of modern physics.,FALSE,338307
"[""A""]","[""I wasn't really in the mood for conversation.""]",I was feeling chatty.,FALSE,116866
"[""A""]","[""It's refreshing that all these clients are just happy to have you as their lawyer, he said.""]","it's disconcerting to see that these clients are upset to have you as their lawyer, he said. ",FALSE,229978
"[""A""]","[""We were detained under suspicion by the hospital porter, until Cynthia appeared to vouch for us, looking very cool and sweet in her long white overall. ""]",Cynthia vouched against us but we were set free. ,FALSE,95136
"[""A""]","[""GAO succeeds in its mission when its findings and recommendations lead to improvements wherever federal dollars are spent.""]",Improving where federal dollars are spent is a byproduct of the GAO's success.,TRUE,334591
"[""A""]","[""Like Elche and Orihuela, Murcia has been a rich oasis since Moorish times.""]",Murcia is a rich region.,TRUE,142250
"[""A""]","[""yes it is seems very high it hasn't bothered me but i know the people that have allergies it seems to be a pretty high""]","It is very high , but it has not bothered me.",TRUE,83714
"[""A""]","[""'That's that,'  ""]",This is wrong and we should not accept it.,FALSE,266712
"[""A""]","[""One third of this force is said to be specially trained to quash riots.""]",Third of this force is said to be specially trained to quash riots.,TRUE,155657
"[""A""]","[""uh i need to i haven't started yet but  it's a thought""]",That is a thought but actually I did not begin just yet.,TRUE,331852
"[""A""]","[""Archaeology shows that, during this time, societies lived mainly in coastal trading towns with little settlement inland.""]","Most societies had living in coastal trading areas, and this is proved by archeology. ",TRUE,248466
"[""A""]","[""Comparing beneficiaries with mortality rolls to the use of sophisticated computer models for interactive analysis of large amounts of information (e.g.""]",Sophisticated computer models are used for analysis of large amounts of information.,TRUE,139683
"[""A""]","[""You were studying from one of those Download Degrees you get online? They're always riddled with error.""]",You were studying in person?,FALSE,268356
"[""A""]","[""We also consulted with leading public and private sector experts in financial management.""]",The experts consulted were not so proficient in financial management.,FALSE,360289
"[""A""]","[""um yeah i probably do i feel like i don't know i'm a Christian i feel like women are more usually deceived you i feel like i don't think that's necessarily a bad thing""]",Women have a much shrewder nose for bullshit than men.,FALSE,164550
"[""A""]","[""He had no teeth and his eyes were as black as night.""]",The man with black eyes didn't have any teeth in his mouth. ,TRUE,228922
"[""A""]","[""There are no hotels on Niihau ' nor electricity or running water.""]","Niihau does not have any hotels, electricity or running water.",TRUE,323479
"[""A""]","[""Modern shopping malls are usually open 10am-midnight or later, and often on Sunday as well.""]",Modern shopping malls always close at 6pm. ,FALSE,131791
"[""A""]","[""yeah which is a is a joke""]",It's a joke.,TRUE,331613
"[""A""]","[""You would offer him a fight? ""]",Would you fight him? ,TRUE,127176
"[""A""]","[""What? The captain was evidently caught off guard.""]",The captain was confused and caught off guard.,TRUE,268636
"[""A""]","[""of Federal Appropriations Law, Volumes I, II, III, IV, which are available on GAO's Web site www.gao.gov.""]",Four volumes of Federal appropriations law are available on the GAO website.,TRUE,165945
"[""A""]","[""In 1995, however, GSA established a voluntary gainsharing program under which employees who use free tickets awarded for official travel miles or secure lodging at less than the established lodging rates can receive cash awards of up to half the amount saved for the government.""]",The GSA decided to subtract any missed savings on travel expenses directly from the salaries of employees.,FALSE,315324
"[""A""]","[""Rackets may be rented.""]",It is free to use the rackets at the beach.,FALSE,7691
"[""A""]","[""A decade ago, kids were bombarded by anti-drug messages.""]",Kids rarely came into contact with anti-drug advertising in the past.,FALSE,71998
"[""A""]","[""Poirot, is that seriously your opinion?""]",The speaker believes that this is in fact Poirot's opinion. ,FALSE,10119
"[""A""]","[""Away from the expressways and southeast from the Central Market lie the exotic offerings of Chinatown, within the boundaries of Jalan Sultan, Jalan Bandar (now known as Jalan Tun H. S. Lee), and especially along Jalan Petaling.""]",Chinatown is located in a different area than the expressways.,TRUE,37809
"[""A""]","[""Conferees found that programs lacked a common definition and vision of diversity.""]",All of the programs had a unified vision of diversity.,FALSE,222553
"[""A""]","[""The most obvious criterion is relevant IT expertise.""]",IT expertise is important. ,TRUE,168619
"[""A""]","[""You'll find prices begin to drop at the end of the day, after the tour groups leave, especially out of season.""]",The prices go up towards the end of the day.,FALSE,34964
"[""A""]","[""I must fix it up with him. ""]",He and I need to fix it up.,TRUE,256116
"[""A""]","[""Last call at pubs is at 11 sharp, to ensure that guests don't linger much beyond 11:15.""]",Guests require some early warning so that they leave on time.,TRUE,206190
"[""A""]","[""He's a Polish Jew, anyway.""""]",He was a Christian.,FALSE,94322
"[""A""]","[""But you would help me if you could?""]",You will just ignore me and not attempt to do anything to help me. ,FALSE,326681
"[""A""]","[""and while he was gone he had looked went looking for a job and stopped at the store that's what it was and uh someone who was in the neighborhood cleaning carpets these two men went in raped the girl murdered her""]",He wasn't out looking for a job when they killed the girl.,FALSE,360478
"[""A""]","[""One commenter expressed concern that the Commission would extend the requirement for an open access same-time information system (OASIS) to nonpublic, not-for-profit cooperative utilities and stated that the Commission would then be required to analyze the requirement's effect on those utilities.""]",Someone is worried the Commission will extend the requirements.,TRUE,39629
"[""A""]","[""In the 1920s, Montparnasse took over from Montmartre as the stomping grounds of the capital's artistic colony, or at least of its avant-garde.""]",Montparnasse became more popular with artists in the 1920s.,TRUE,265435
"[""A""]","[""Practice 14: Monitor Factors that Affect Risk and Indicate Security Effectiveness""]",Practice 14: Monitor Factors that indicate security effectiveness and affect risk.,TRUE,256390
"[""A""]","[""The Japanese themselves (in the big cities at least) can be seen more often than not with some kind of shopping bag they make very large, sturdy ones just on the off chance that they might want to buy something.""]",Japanese people often carry large shopping bags in case they want to do some spur of the moment shopping.,TRUE,325383
"[""A""]","[""3 This paper refers almost interchangeably to rate(s) and price(s).""]",The paper does not contain any information about the rate or prices. ,FALSE,132481
"[""A""]","[""Following the case study, an inexpensive (25 staff day) check was made on productivity data and trends from other SSA regions, and similarities were noted.""]",Links were found in a cheap look at productivity data and other trends.,TRUE,235712
"[""A""]","[""yeah i'm not exactly sure where the you know the can thing is but you know sometimes it's just so seems so much easier just to take it and throw it in the trash and have them pick it up than it is to smash the cans and drive it some place to have them""]",It's much easier having cans be picked up than throwing them straight in the bin.,FALSE,290307
"[""A""]","[""We are concerned that S. 556's short timeframes for installation of controls could lead power plants to be taken off-line at important times, which could lead to electricity shortages.""]",We are worried that power plants will be shut down when they should be running.,TRUE,215513
"[""A""]","[""um-hum or they won't be as good as they could be""]",They won't be as good as they could,TRUE,253057
"[""A""]","[""President Clinton began backing away from his pledge to remove U.S. troops from Bosnia by June 1998, which had replaced his previous pledge to remove the troops by December 1997.""]",President Clinton was unable to commit to a single date when he pledged to remove troops from Bosnia.,TRUE,167089
"[""A""]","[""Or visit the Hort de Baix and the Hort del Chocolater (the latter open at irregular intervals) these groves help make Elche one of the most verdant cities in Europe.""]",There are not many trees around Elche.,FALSE,281955
"[""A""]","[""The auditors' understanding may come from knowledge they already have about the program or knowledge they gain from inquiries and observations they make in planning the audit.""]",The auditors' understanding might come from the knowledge that they have about the program.,TRUE,135357
"[""A""]","[""You can line up to apologize to me after the show, booms an effulgent Novak.""]",Novak said there would never be an opportunity to apologize.,FALSE,284450
"[""A""]","[""In any case, the broader the net cast by the screening instrument that identifies individuals with alcohol problems, the more flexible and wide-ranging should be the referral and post-discharge options.""]",Individuals with alcohol problems should not have post-discharge options.,FALSE,146617
"[""A""]","[""The cab drew up outside the tube station.""]",The cab did not pull up.,FALSE,196969
"[""A""]","[""oh yeah frostbites""]",heatstroke,FALSE,105421
"[""A""]","[""Auditors can reduce the direct tests of the data if they test the effectiveness of general and application controls over computer-processed data, and these tests support the conclusion that the controls are effective.""]",Auditors are not allowed to reduce direct tests of data.,FALSE,71699
"[""A""]","[""Within another 5 km (3 miles) you arrive at Sella village, dwarfed beneath an extraordinary plateau.""]",Sella village lies in the shadow of a large volcano. ,FALSE,18415
"[""A""]","[""in which there are great difficulties ahead...""]",The path ahead is simple.,FALSE,227144
"[""A""]","[""With tourists in mind, several feast days now offer special events and fireworks which never featured in the original celebrations.""]",Celebrations now are much more elaborate compared to the past.,TRUE,47584
"[""A""]","[""DIRECT LOAN -A disbursement of funds by the government to a nonfederal borrower under a contract that requires the repayment of such funds within a certain time with or without interest.""]",Loans may be under a contract or not depending on who disbursed the funds.,FALSE,155069
"[""A""]","[""After hitting the art world's Big Three, visitors can repair to Retiro Park, where kings once found respite from the demands of hectic city life.""]",Both kings and visitors have been in Retiro Park.,TRUE,30801
"[""A""]","[""I'd join up.""]",I would go.,TRUE,177231
"[""A""]","[""no i don't i'm uh renting a townhouse right now but i'm moving uh the end of May i'm going to move into renting a house""]","I rent a townhouse currently, but I'm going to start renting a house.",TRUE,192726
"[""A""]","[""No, the sixth point I will keep to myself for the present."" He looked quickly round the room. ""]",I'll tell you the sixth point. ,FALSE,204085
"[""A""]","[""Stanley is also a favorite place of residence for ex-pats.""]",Stanley is also a favorite place of residence for Taliban members.,FALSE,63412
"[""A""]","[""A land of rolling hills and deciduous trees, tiny hamlets and green meadows, the Southeast is the most popular area of the Lake District, if not the most dramatic visually.""]",The most popular area around is the Southeast,TRUE,127860
"[""A""]","[""The solution to a problem in magic should logically be found in magic, not in the methods of other worlds.""]",Magical problems can only be resolved by finding solutions in other worlds.,FALSE,19964
"[""A""]","[""Of course, investment bankers, lawyers, and speculators do.""]","Investment bankers, lawyers, and speculators do not do the same things.",FALSE,203400
"[""A""]","[""While it makes no sense to worry that you are living well at your grandchildren's expense, you might legitimately worry that someone else is living well at your grandchildren's expense.""]",They are childless without an heir. ,FALSE,301381
"[""A""]","[""Serious questions were being raised about whether the policies he was proposing for taxes, expenditures, and the deficit added up.""]",We had no questions about his policies.,FALSE,100059
"[""A""]","["", called deep lobbying: Rather than simply using their money to buy influence directly, special interests pursue the longer-term strategy of funding plausible-sounding people and institutions that supply intellectual rationales for the policies they want.""]",Deep lobbying is the action by which special interests  fund plausible-sounding people rather than using their money to directly buy influence.,TRUE,27955
"[""A""]","[""oh okay my dad is too""]","Yes, my father is too.",TRUE,21188
"[""A""]","[""Domino's was the first one to start yes""]","Domino's was the pioneer, yes.",TRUE,152218
"[""A""]","[""Guadeloupe's political capital, Basse-Terre, is much smaller and sleepier than Pointe Pitre.""]",Basse-Terre is not Guadeloupe's political capital.,FALSE,327683
"[""A""]","[""The act also requires agencies to prepare annual program performance reports to review progress toward annual performance goals""]",Agencies have to review progress toward yearly goals for performance as part of the act.,TRUE,273766
