index	promptID	pairID	genre	sentence1_binary_parse	sentence2_binary_parse	sentence1_parse	sentence2_parse	sentence1	sentence2	label1	gold_label
890792	0584694459	xnwxm0	dialogue	()	()	()	()	i do ! i love dogs , what about you ? i like dogs . i have two of them . what makes you happy ?	i own my own consulting business , i guess that makes me happy	entailment	entailment
208759	2032533585	qfvkbP3	dialogue	()	()	()	()	care to chat with an athlete , who wants to be an explorer ? always , willing to take to a gymnast with a cat and a bf	i had a dog that looked like a calf .	neutral	neutral
243921	2235789648	gjledP4	dialogue	()	()	()	()	hello ! how are you ? i am like awesome . how are you ?	dogs are way messy .	neutral	neutral
621624	6812	6812c	travel	()	()	()	()	they are an easy walk apart by the harbor road , or a longer 45-minute hike on the scenic peak road .	hiking there is impossible .	contradiction	contradiction
553589	118444	118444c	telephone	()	()	()	()	well thanks for being home uh on the weekend i uh i 'm actually working at night and uh there very few people that are on the list for calls uh on the weekends nights	i have to work during the day but not on the weekends because there are a lot of people working that shift already .	contradiction	contradiction
268914	5476425119	zgqpvP5	dialogue	()	()	()	()	i like different types of spanish music do you also play spanish guitar ?	i do not have a lot of spare time but when i do it is fun	neutral	neutral
21482	4102383141	gvzcwP5	dialogue	()	()	()	()	i had a chance to play b ball pro aww man i wish i could go pro highschool was football and wrestling	who are you ? i will watch , but i am getting called by chicks all the time	neutral	neutral
650272	104908	104908c	travel	()	()	()	()	paris is no longer the ultimate mecca for ambitious young french from the prov?­inces ; cities around the country are attracting young professionals who want to escape the more frenetic life in the ile de france ; the number of agricultural workers has shrunk dramatically ; industrial and high - tech centers have sprung up around the country ; provincial cities are developing their own international reputations ; and immigration and increasing migration of populations within a   border - free   euro?­pean union are blurring the edges of the french identity .	paris is the sole popular city in france .	contradiction	contradiction
107471	7002864661	mxfolP5	dialogue	()	()	()	()	i do not want to . i'll just listen to bruno mars instead do you believe in god ?	do you really don't know want i mars people than of though catholic	contradiction	contradiction
745554	3110621112	wqfguP2	dialogue	()	()	()	()	nah . just love hanging out . and i do sing to my cats . i see . does your cat sing back ?	pets he you times to your nah friends wow yeah nice	contradiction	contradiction
495842	3414930025	vafjmP2	dialogue	()	()	()	()	hi how are you today i'm ok and yourself ?	yeahhhh ! ! ! ! ! my teacher does not give us a break ! ! ! ! i hate it ! ! ! !	neutral	neutral
852526	0860290793	jydguP1	dialogue	()	()	()	()	he watches me try not to break my necklace and barks by the time i am 46 i would like to go rock climbing .	same as everyday , just sitting at home listening to backstreet boys . you ?	neutral	neutral
229843	0918369375	yvadf0	dialogue	()	()	()	()	cool . i am in the navy and i swim fun ! i love taking pictures photography is my life	i used to be a model when i was longer . i'm very tall	entailment	entailment
923062	6318524919	nvurmD1	dialogue	()	()	()	()	nice ! my husband passed away so i take care of my daughters alone . sorry about your husband . i only have one very good friend .	i'm not sure what you mean by this .	neutral	neutral
467845	4960274577	ijazuP1	dialogue	()	()	()	()	hello ! tell me a secret about you . well , i guess its not really a secret if you would know me , but i like reading .	oh . . is not that called a witch eye ? what color hair ? mine is brown .	neutral	neutral
436470	0737487270	oudbn0	dialogue	()	()	()	()	is everything fine now ? or any issues ? well the bouquet had a bee in it so she thought i had did it .	lol . . that's the worst part . .	entailment	entailment
800253	3606567141	orckdP5	dialogue	()	()	()	()	hi , how is it going ? i'm good and you	i like winter but i'm more into summer	neutral	neutral
678362	5591947413	pighu0	dialogue	()	()	()	()	when i've kids , i am going to follow the bible for parenting advice . i think that is great ! right now i'm struggling with being bipolar .	that is hard . do you go to therapy ?	entailment	entailment
251688	4456398272	osxsrD1	dialogue	()	()	()	()	i prefer snow and the cold do you have a favorite food ? jamaican . i love curry and goat . eat it every chance i can get .	i'm not sure what you're trying to say .	neutral	neutral
596443	5588934601	jifwjP3	dialogue	()	()	()	()	sorry its not my mother tongue . but i'm tall and have big legs . i'm a real short person and you are wasting a lot of time	i have a big and long fingers .	neutral	neutral
695945	9295022912	yiubfD1	dialogue	()	()	()	()	30 years i believe . she retired a few years ago , she loved it i bet she did . that would be fun .	i'm not sure .	neutral	neutral
511047	8292804524	ewcxmP1	dialogue	()	()	()	()	i am in a grunge band with my sister , that's how we make extra money . i have created millions of jobs since january . you need to get a real one .	must be nice ! my parents are teachers , we do not have your kind of money .	neutral	neutral
536559	129913	129913c	government	()	()	()	()	the average payout was $ 4,400 , and the largest - about $ 22,000 went to people who had been with anthem the longest , presumably seniors .	no one received a payout from anthem .	contradiction	contradiction
921363	0870335478	sfvuxP2	dialogue	()	()	()	()	well that is an understandable weakness , oreos are delicious ! what do you do for a living ?	all great activities ! what else are you into ? what kind of food do you like ?	neutral	neutral
288486	8698846973	bytwvD1	dialogue	()	()	()	()	ha ! i work retail to pay the bills too and to feed my chocolate addiction d ha ha ! yes chocolate is a necessity in life !	i don't know what you're talking about .	neutral	neutral
589007	26324	26324c	government	()	()	()	()	economists continue to debate how well the ricardian equivalence theory works in practice .	everyone knows that the ricardian equivalence theory works well in practice .	contradiction	contradiction
775269	8778964474	onpjhP3	dialogue	()	()	()	()	have you ever been to niagra falls ? that's where the honeymoon will be . yes i have been , it is beautiful	travel going afterwards is be beautiful been yes help finished will bearer favorite bet	contradiction	contradiction
189737	3686679704	jnlbzP2	dialogue	()	()	()	()	i go to festivals with my friends i'm getting ready to go to the fair this october	do you read anything else	neutral	neutral
486019	1429367655	pjogh0	dialogue	()	()	()	()	hi there how are you doing today ? greetings . . today would be wonderful if i were royalty . . .	i hear you . maybe if we play the stock market well .	entailment	entailment
777996	9464668393	yhhkdP1	dialogue	()	()	()	()	that must be hard ! i do not think i could do overnight work is is not bad , i like it . i get to write a lot	oh i like all kinda , but my favorite is kpop . just home work	neutral	neutral
545302	2469	2469c	telephone	()	()	()	()	and you could get water out of it you know keep cold water	only warm water came out of it .	contradiction	contradiction
46453	0105915432	igrmeP3	dialogue	()	()	()	()	i am doing pretty good , just sitting back drinking some bud . washup ! what are your hobbies ?	what sort of venues do you play at ?	neutral	neutral
173846	5108697535	cyodu0	dialogue	()	()	()	()	i really enjoy eating sushi . i don't think i would eat sushi .	can you tell me a little about yourself ?	entailment	entailment
546763	97703	97703c	slate	()	()	()	()	never before has a u.n. court been able to punish the actions of individuals . both right- and left - wingers worry that the new u.n. tribunals will reprise the flaws of the nuremberg and tokyo trials , attempting to make political points and failing to adequately protect the rights of the accused .	the un court has been able to punish individuals before .	contradiction	contradiction
15365	0627113997	mvdatP3	dialogue	()	()	()	()	glad to hear . i just moved to virginia from pennsylvania . pretty tired . what do you do for a living ?	its good thanks for asking	neutral	neutral
551682	4455626410	iwzmcP7	dialogue	()	()	()	()	seattle has good seafood also . do you have a family ? no , i live alone with my cat .	looking i'm redecorate family no i has seafood how as not really day doing	contradiction	contradiction
644466	138880	138880c	travel	()	()	()	()	historians and sociologists like to explain it all as a continuation of the feudal spirit of rigidly reinforced social hierarchies , with company presidents as latter - day shoguns and middle management as reincarnated samurai warriors .	coprorations are run like democracies .	contradiction	contradiction
19729	6650043278	cgjtdD2	dialogue	()	()	()	()	absolutely . what do you do for a living ? i throw parties for a living	i don't know .	neutral	neutral
411073	2166392549	ywppv0	dialogue	()	()	()	()	i work on robotics . . i am doing my major in that that sounds like a tough major . do you like it ?	i love it . . people says i am smart . . kidding	entailment	entailment
869843	9105916171	xmrka0	dialogue	()	()	()	()	lol we could have nights at home cooking . can you cook ? i can certainly try , but i am not confident it won't be burnt . do you have any tallents ?	i can make a great burger on my george foreman grill . you ?	entailment	entailment
843038	7071251451	cvthpD1	dialogue	()	()	()	()	hi . i just got off work . i am a police officer in the detroit suburbs awesome , thanks for your service . thanks for protecting us	i'm not sure what you're trying to say .	neutral	neutral
612702	7951124241	vtjuxP2	dialogue	()	()	()	()	yeah , me too . i've a big family . do you have siblings ? that's lovely , yes , but they don't like my girlfriend	that's exactly what i want to be ! what kind of writing ?	neutral	neutral
632589	4969667227	bzhkx0	dialogue	()	()	()	()	hard to choose just one . a recent favorite was city of thieves . oh that sounds interesting . what else do you do for fun ?	i enjoy karaoke . what about you ?	entailment	entailment
415360	7861698074	pbxyiP1	dialogue	()	()	()	()	not good . i'm trying to lose weight and i'm having trouble doing it . i'm ray i just got back from the gym , i go on a regular basis	you should cook more it cost alot less to do that	neutral	neutral
280640	1988620499	gdmdaP1	dialogue	()	()	()	()	haha . pickles is a helpful girl , she catches bugs in my rose garden i take bill with me for my first graders to help take care of .	thirsty ! drinking some tea right now , how about you ?	neutral	neutral
651439	125231	125231c	slate	()	()	()	()	an article traces the path of the semen - stained dress   it bounced from the drudge report to countless news outlets without ever being substantiated .	the semen - stained dress most assuredly has been substantiated .	contradiction	contradiction
584600	84554	84554c	slate	()	()	()	()	so far , campbell and frank have enlisted only 34 co - signers , and the administration shows no signs of paying attention .	campbell and frank have found a total of 60 co - signers .	contradiction	contradiction
106684	0542852007	yyqocP1	dialogue	()	()	()	()	well i only eat meat . ever ! ! ! wow that is funny do you like shrimp	hello i like to whittle and i also enjoy canning	neutral	neutral
297351	5040714231	shcidP2	dialogue	()	()	()	()	did you out live them , or just lose touch ? i'm too old so now there is not too many people around	i gave up coffee after graduating college a few years ago . do you have other vices ?	neutral	neutral
786629	2028895552	crklb0	dialogue	()	()	()	()	i wish i could work the stock market but i cant play it well you play any instruments at all ? i can teach you the drums .	that would be awesome i play guitar . play guitar and read the news	entailment	entailment
604803	34319	34319c	telephone	()	()	()	()	yeah a lot more appointee 's i guess makes him carry a lot more weight	there is no link between the number of appointees and the weight he has to carry .	contradiction	contradiction
676554	8836423196	rhifxP1	dialogue	()	()	()	()	do you like animals ? i always wanted to be a vet yes i do ! i've always wanted to be an explorer myself . animals are very charming	hey i am alright , winding down from a long day at the office . you ?	neutral	neutral
606700	93316	93316c	fiction	()	()	()	()	but surely all this is most unusual ? put in julius .	but surely all this is very usual ? said julius .	contradiction	contradiction
291987	4821206893	wkezx0	dialogue	()	()	()	()	its fun sometimes . . boring sometimes i bet . maybe we could win the lottery someday . dream come true !	hope so buddy . . how is ur work ?	entailment	entailment
321205	2091367199	yuyscD2	dialogue	()	()	()	()	i was going to read too , but i cannot find my glasses that is too bad . what do you like to read ?	i don't know what you mean .	neutral	neutral
790681	8835067315	vcltz0	dialogue	()	()	()	()	then i will need to bring out my cane while i move around the kitchen get out that cane and spice it up	any good recipe i should try ?	entailment	entailment
648979	4959130648	aafqcP3	dialogue	()	()	()	()	hey i am into sports love football . i play professionally that's cool . i only a cashier at a gas station	awesome . i'd love to see you play . get away from this gas station	neutral	neutral
251282	0849643748	soxmqP6	dialogue	()	()	()	()	very true ! maybe i'm just a villan well , we need to work on your evil laugh . muhaahaahaa ! ! !	students extra give haha i'll your muhaahaahaa need a evil go halo truly organize that think	contradiction	contradiction
644564	3911862291	qtgxoP1	dialogue	()	()	()	()	yeah i could see that . do you have a family ? i do , my wife is at home , she's a chef .	i would like one too , but i'm working in the morning so i cannot .	neutral	neutral
51525	0969549132	swgzuP2	dialogue	()	()	()	()	same here , but it will be years before i can retire . any hobbies ? just my family ! what about you ?	makeup love tutorials and i before but what my will mentor how son	contradiction	contradiction
865824	4868588125	ntvbsP3	dialogue	()	()	()	()	navy here . i tried security work but it was too stationary . i wanted to travel more . right on . if you are like me you exercise a bunch still ?	oh yeah every more to you it beautiful cold to time thing	contradiction	contradiction
199869	4283825294	kuzfr0	dialogue	()	()	()	()	i am doing good . i am retiring soon can not wait me too so i can play video games a lot . what do you like to do ?	i love to dance my mom was a dancer too so she made me learn young	entailment	entailment
598951	688	688c	fiction	()	()	()	()	tuppence shook her head .	tuppence 's head stayed completely still .	contradiction	contradiction
19864	5663137128	sgyrlP1	dialogue	()	()	()	()	i love cars but i know very little about them oh okay . i eat very little meat . you ?	just when i running tables at work	neutral	neutral
148570	6728035443	chpfs0	dialogue	()	()	()	()	i like country . do you like that music ? i do , whats your favorite aside from that ?	i love celtic as well .	entailment	entailment
885778	7466304544	stllhD2	dialogue	()	()	()	()	that is great . you save lives ! what kind of medicine do you practice ? general a little bit of everything . what else do you enjoy besides painting ?	i don't know what you mean by that .	neutral	neutral
295106	4901890903	trwxd0	dialogue	()	()	()	()	maybe so ! do you work in the stock market ? i dabble in it , i wish i could invest in it more wisely	yeah , i hear ya ! you have any hobbies you like to do ?	entailment	entailment
528442	2873071444	xerhbP4	dialogue	()	()	()	()	when i'm not harvesting apples i like to do photography that is cool i work at a grocery store when i am not in school	what do you do for a living	neutral	neutral
864040	8493561695	wqbzxP7	dialogue	()	()	()	()	i am so lucky to not have to worry about money that is awesome , i enjoy reading a lot .	i in the awesome a that i'd grand ready	contradiction	contradiction
645872	0618284787	abefeD2	dialogue	()	()	()	()	wow ! do you have any siblings who play too ? no , but my teammates at the university of north carolina were like family .	i'm not sure what you're saying .	neutral	neutral
494022	3192906711	ivobz0	dialogue	()	()	()	()	i live in a house with cats , there are cats in my yard too cats do not have souls so i do not see them at church when i sing in the choir	oh well , we all think different . my husband is strange sometimes too	entailment	entailment
596847	0998645760	sldsmD1	dialogue	()	()	()	()	i write short stories even though i've to ask a prompting app for help at least you still try . what do you do for a living ?	i'm not sure what you're saying .	neutral	neutral
635707	107206	107206c	government	()	()	()	()	all 18 states improved access to justice for low - income people , strengthened the quality of legal services delivered by programs,2 and forged new and deeper bonds among stakeholder partners in each state 's civil justice community .	none of the 18 states improved access to justice for low - income individuals .	contradiction	contradiction
27747	3229385493	xpoir0	dialogue	()	()	()	()	never heard of that either . is it an app yes , i enjoy listening to podcasts on it as i drive my chevy impala	growing up in alabama i have seen plenty of impalas	entailment	entailment
508383	5234662629	czoeeP1	dialogue	()	()	()	()	very cool . do you like music ? i sometimes do . when i can sing along	how many do you have ?	neutral	neutral
560944	52038	52038c	travel	()	()	()	()	alternatively , you can shine a lamp on the stone real jade shows no reflected light .	shining a lamp on a jade wo n't help determining the authenticity of it .	contradiction	contradiction
394622	4932544438	jieyxP1	dialogue	()	()	()	()	no , and i cannot eat shellfish either . i am allergic . do you have any aspirations in life ?	org , me too cool huh ?	neutral	neutral
68421	4368559059	hrddkP5	dialogue	()	()	()	()	i love to read lots of books what kind of books do you read ?	are you a woman or man ?	neutral	neutral
350191	0266620808	ayvvlP3	dialogue	()	()	()	()	morning ! i am well . how is your day going ? it is going well . i have been playing with my pug corky .	it does not affect my dating life , i am single and having a blast !	neutral	neutral
634922	6011808839	vxdgp0	dialogue	()	()	()	()	i'm doing well . i'm studying tonight what are you going to school for ?	i'm getting my bachelors degree in criminal justice	entailment	entailment
828827	6336955039	tkngeD2	dialogue	()	()	()	()	i mean you'd still see it for a second doc then be blind for like . no thanks	i don't know .	neutral	neutral
60760	8718008162	xsmakP4	dialogue	()	()	()	()	that's still cool . i came to america when i was five that's awesome ! ! ! congrats ! do you like it ?	very well , thank you and you ?	neutral	neutral
796265	8526105986	cnciiD1	dialogue	()	()	()	()	my parents are both in the church choir , so music is naturally in me . that is pretty neat , being the youngest i got stuck with piano .	i'm not sure what you mean by that .	neutral	neutral
573699	2130252289	xqccy0	dialogue	()	()	()	()	whats your fav music ? i like all of it . . . well , not country and jazz . i like jazz . anything my cat likes , i like .	ll and what is your fav thing to eat ? i like everything italian .	entailment	entailment
537560	56026	56026c	government	()	()	()	()	the former csr system did not consistently collect and identify much of this effort on behalf of eligible clients .	much of this effort has been consistently collected by the former csr system .	contradiction	contradiction
337574	0595298198	cgyymP1	dialogue	()	()	()	()	yes i've one dog . i've mostly been working on curing the common code oh . are you a doctor ? my left knee is full of metal parts	i like any song that's fun to sing in the shower lol	neutral	neutral
115962	6895125085	rldzbP4	dialogue	()	()	()	()	they have steadily been making music since the eighties i thought it was earlier than that . i love kiss .	yes , they have . so has ozzy .	neutral	neutral
708054	7822261962	cgujoP4	dialogue	()	()	()	()	i'm doing good , just taking a break at work . where do you work at	there was a kid in the school system my mum works for with a severe peanut allergy	neutral	neutral
710864	9137824828	ffaqrP4	dialogue	()	()	()	()	i see a hockey game every fall when i visit my sister in toronto . i love the maple leafs ! they are my favorite team .	really is your team see maple fall start how in over	contradiction	contradiction
43940	9295011485	whdxnP3	dialogue	()	()	()	()	grateful dead baby ! they're the best band in the world what other music do you like	well i don't think so but all my friends say i suck	neutral	neutral
922721	1211589856	ggniaD1	dialogue	()	()	()	()	i am a cake decorator oh yummy . i bet that makes it hard to be healthy though .	i'm not sure what you're talking about .	neutral	neutral
196874	6550042202	cseyxD2	dialogue	()	()	()	()	do you have any pets ? i've a horse , ed . he doesn't talk . o i don't and that good what you eat today	i'm not sure what you're saying .	neutral	neutral
492642	9119563661	skgamD1	dialogue	()	()	()	()	i watch a lot of tom and jerry , tho . it isn't that cool . lol i hear ya , cartoons are always on in this house ! lol	i don't understand what you mean .	neutral	neutral
653126	5934254166	lacisP1	dialogue	()	()	()	()	hi how are you doing hi ! my name is sara . what is your name ?	yeah . i get to travel to ski competitions and take pictures when i'm not racing .	neutral	neutral
561568	2952005300	zswdrP1	dialogue	()	()	()	()	sounds good . i love thai food . i don't like fast food , so i will have to go into the city .	i have a degree in communication , and i am in the navy .	neutral	neutral
395948	3058824128	ipnunP3	dialogue	()	()	()	()	yes , we make homemade ice cream all the time ! i always eat ice cream with my fiancé	we are still planning the wedding . i got engaged a year ago at a rock concert	neutral	neutral
552399	95854	95854c	government	()	()	()	()	recommendations identified in previous audits , attestation engagements , or studies can help auditors evaluate the subject matter or the assertion associated with the attestation engagement .	the auditors have no way of getting access to the information .	contradiction	contradiction
349470	6463373767	mayynP1	dialogue	()	()	()	()	i think it was , i'm pretty paranoid i usually just let jesus take the wheel . do you believe ?	does praying work ? maybe i will try	neutral	neutral
358027	1357710689	iqdet0	dialogue	()	()	()	()	i'm doing good , watched some baseball this evening , go yankees if the one person can do that then you can	what are your favorite tv shows ?	entailment	entailment
183030	2632901529	dntwaP3	dialogue	()	()	()	()	just canoes and small sail boats . i'm on a small island is there anything interesting you want to tell me about yourself ?	he's a mutt . do you have any pets ?	neutral	neutral
214562	4228483660	weavcD1	dialogue	()	()	()	()	yeah that's very true . super easy . one of the reason i got high speed internet is to play chess	i don't understand what you mean .	neutral	neutral
575004	84903	84903c	travel	()	()	()	()	in the hills above pithagorio is perhaps the most amazing example of polycrates ' wealth and power .	polycrates is long forgotten , historians know little about him other then that he was poor and humble .	contradiction	contradiction
784268	0854933885	dmcnsP1	dialogue	()	()	()	()	hey , go vegannnnn please now hi . any hobbies ? i ride horses and snowboard .	not much . i'm not good at it .	neutral	neutral
75460	8440857897	ttzotP3	dialogue	()	()	()	()	awesome ! i'd like to volunteer , but i've to help on the farm a lot . well that is still nice to help out the family .	it was good . i worked on the family farm all day .	neutral	neutral
812405	6935562848	iznth0	dialogue	()	()	()	()	i'm furthering my education too ! i'm taking piano lessons . i love music . do like rise against ?	no , i just like classical . my favorite food is chocolate . yours is ?	entailment	entailment
329337	2934788268	ecpstD2	dialogue	()	()	()	()	put some cheese in some bread . i don't like cheese or asking the deli for help .	i'm not sure what you mean by that .	neutral	neutral
756854	4037846001	qauqgP3	dialogue	()	()	()	()	dr . pepper because that is my favourite soda my brother likes dr . pepper too . i can not afford soda .	hello ! how are you today ?	neutral	neutral
453023	7212614170	umpfs0	dialogue	()	()	()	()	what are you going to eat ? i can never decide . . . either a cheesy hot dog , or a chili corn dog .	my brother is manic and believes he is a viking . we eat a lot of norse food .	entailment	entailment
407881	9109418204	gxdfsP3	dialogue	()	()	()	()	hello , how are you . i am fine . hi , i am doing very well , thanks . please tell me more about yourself . any hobbies ?	well , i speak three languages french english and spanish , so anything really	neutral	neutral
103392	5701700678	pgtns0	dialogue	()	()	()	()	hey there , where are you from ? kansas . great fishing in kansas .	oh i bet . i am in new york city . i currently work on the famous wall street	entailment	entailment
662651	8338815043	ughxxP2	dialogue	()	()	()	()	yeah , maybe you are right , i am obsessed with movies and filming you should go cliff diving	ha ha ha , i was thinking in something more normal	neutral	neutral
704860	3389447818	rniijD2	dialogue	()	()	()	()	i'm doing good ! tell me about yourself . i love music ! i love blaring katy perry in the car and travelling !	i don't know what you mean .	neutral	neutral
548768	8870130123	xkgznP3	dialogue	()	()	()	()	yes , i work in a very clean medical office . nice , i spend most of my job inside a truck cabin driving	i like sports too , but i don't go out much due to terrible allergies .	neutral	neutral
650005	7914391614	ommrd0	dialogue	()	()	()	()	in my living room watching goodfellas what is goodfellas , i have never heard of that ?	best movie of all time	entailment	entailment
856322	3249815821	qtrqzP5	dialogue	()	()	()	()	that is cute , what kind of horse is she ? she is a clydesdale ! we live out in the country so she has plenty of room !	i am doing very well , thank you . playing the violin . how are you ?	neutral	neutral
110441	8780344636	noaawP2	dialogue	()	()	()	()	is it nice there ? anything else you might want to tell me ? yes it is beautiful . 300 days of sunshine . do you like the band tool ?	them of they good it yes me nice anything time green in mud be college	contradiction	contradiction
295684	7096423789	xxvnrP3	dialogue	()	()	()	()	yes , and it is going to be next week . congratulations ! do you like movies ?	wow , that s awesome ! in feel with you .	neutral	neutral
578825	4266279004	lvxyf0	dialogue	()	()	()	()	that is great . i'm eating a snack . thinking about my dad yeah . family is the best . i've a twin brother . we have an apartment .	that's cool . my dad taught me everything i know	entailment	entailment
911701	3679067783	xwayrP1	dialogue	()	()	()	()	mine is light brown , he has never hurt anyone , he's very friendly and strong i love all dogs , i am sure yours is lovely	it must take a lot of strength	neutral	neutral
387815	0458743338	ldtwe0	dialogue	()	()	()	()	i am a guy though . . . sorry , you sound like a guy , so do you hike ? well everyone can hike you silly	i always smells good , my body smells fresh all the time	entailment	entailment
551488	99125	99125c	slate	()	()	()	()	and why limit payments to the medical sector ?	payments can go to anyone .	contradiction	contradiction
412073	4555215659	chlneP6	dialogue	()	()	()	()	since i was about 5 . wow . you must be quite good .	the thanks dog compliment not good be quite was there fun love for opera	contradiction	contradiction
385956	4641717114	lqopyP2	dialogue	()	()	()	()	great ! i wear a cape and go to movies oh ? what is your favorite movie ?	oh , nothing wrong with that . do you exercise ?	neutral	neutral
335445	9160148595	gkynjP4	dialogue	()	()	()	()	hi ! a country girl here who lives on a farm . who are you ? hey i'm lynn ! i'm making tomato soup for my 2 girls , but i don't like tomatoes	we raise animals . we have got horses , pigs and more . how about you ?	neutral	neutral
883007	5738834934	uepxs0	dialogue	()	()	()	()	ouch ! i know that had to hurt yep . i was 10 . my nose is still messed up	oh wow ! sorry to hear that	entailment	entailment
97778	2095194490	jeciw0	dialogue	()	()	()	()	it sounds wonderful i am glad you are happy yeah i just quit my job i am feel pretty groovy	that is good i hope you have enough to get by	entailment	entailment
529080	5867052969	tetsg0	dialogue	()	()	()	()	me too . my parents always said i was extremely social . any pets ? i have a husky , his name is dixon .	huskies like cold weather . makes since . i like horses .	entailment	entailment
182111	3878438053	uxxyiP6	dialogue	()	()	()	()	my pops was in the military also thank you for your service . thanks to you i can enjoy freedoms such as shopping .	i down scarf such for my pops having am will	contradiction	contradiction
223803	4098970350	focxaP3	dialogue	()	()	()	()	me too ! well then again . . . we will find out together . oh you are serious ? ? that would be awesome ! !	yea its gotta be perfect . its your vacation ! i have never been on a cruise	neutral	neutral
116551	3258724836	qozknD1	dialogue	()	()	()	()	do you like movies ? alien movies are the best ! movies are okay , but i love the walking dead tv show	i'm not sure what you mean by that .	neutral	neutral
571624	31122	31122c	travel	()	()	()	()	rome was plundered by imperial armies in 1527 ; the medici were driven out of florence and returned to power only under tutelage of the spanish , who won effective control of the whole country .	rome had never been plundered by imperial armies .	contradiction	contradiction
493569	3135906421	ajdjhP5	dialogue	()	()	()	()	i like everything how about oyu i like pizza and meat , what is your father ?	what yours a is i your everything to hobbies by tonight	contradiction	contradiction
591179	101377	101377c	fiction	()	()	()	()	well , my friend , as i say , my views as to mr. inglethorp 's guilt were very much shaken .	my views were not shaken when i heard of mr. inglethorp 's guilt .	contradiction	contradiction
590415	6625269560	mcvbl0	dialogue	()	()	()	()	i train horses . what do you do ? marketing i enjoy it really	that sounds like fun . i like my job too	entailment	entailment
633011	85888	85888c	telephone	()	()	()	()	louisiana oh well do you do cajun cooking	i know people do n't really like cajun cooking in louisiana .	contradiction	contradiction
851096	6149312210	sbrusP3	dialogue	()	()	()	()	hey ! its going good . nothing much plotting to take over the world lol you ? haha just plotting my next adventure .	no , but found the cure for the common cold	neutral	neutral
472334	7716623035	jzrxuP5	dialogue	()	()	()	()	i am in the army , been to iraq twice . wow . and you have a young child . that is crazy . you miss him when you are gone ?	well thank you for that .	neutral	neutral
511128	8285458694	urcijP3	dialogue	()	()	()	()	me too ! and biking do you like to read ? i love it !	nice ! ! ! nothing like a good book !	neutral	neutral
466641	1045635672	ckfwdP4	dialogue	()	()	()	()	i hate how it gets stuck in my teeth . i do not blame you	that must be very hard for you	neutral	neutral
608871	9305014609	bnlogD2	dialogue	()	()	()	()	aw , that's so sad . what do you like to eat ? pizza , meat loaf , mashed taters , any soul food she can cook up i eat	i don't know .	neutral	neutral
507725	0837552755	latwnP5	dialogue	()	()	()	()	hello , how are you tonight ? tired but clean i just got out of the shower	a with bath one need i got the shower clean have 60 is	contradiction	contradiction
602444	8528337577	vvyobP1	dialogue	()	()	()	()	are you an actor , or something else ? no i'm neither and in love	i am good want kind of stuff do you like to do ?	neutral	neutral
882378	2109181892	nzjql0	dialogue	()	()	()	()	she will be ok if i can ever talk without loosing my breath did you see the nats tonight ? good game	i didn't watch i should have though	entailment	entailment
398509	0181877197	nuujzP5	dialogue	()	()	()	()	well , i got a girlfriend this summer , so that was awesome . so yeah , summer rules that's great ! good for you .	thanks . i am sorry for your friends .	neutral	neutral
120437	7561596413	vdhjx0	dialogue	()	()	()	()	that seems cool . any other hobbies ? love to play football and volunteer at the animal shelter	i like to read and go cycling . hope to one day ride in an event	entailment	entailment
849085	7954645190	cyiiqP1	dialogue	()	()	()	()	i am a guy . also , i golf golf is boring but being outside is a blast	also , i am involved in the gun club !	neutral	neutral
